Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
85331,France,"This is a taut, dense and minerally wine that's packed with as much tannin as black currant fruit. The structure and layers of acidity demand long-term aging.",Clos Triguedina Les Petites Cailles,94,25.0,Southwest France,Cahors,,Roger Voss,@vossroger,Jean-Luc Baldès 2008 Clos Triguedina Les Petites Cailles Malbec (Cahors),Malbec,Jean-Luc Baldès
123335,France,"This plump, medium-bodied rosé is a blend of two-thirds Syrah and one-third Mourvèdre. It's a fruit-driven style, driven by hints of peach, cantaloupe and bubble gum, that should have broad appeal.",Cape Bleue,86,13.0,France Other,Vin de Pays de la Méditerranée,,Joe Czerwinski,@JoeCz,Jean-Luc Colombo 2014 Cape Bleue Rosé (Vin de Pays de la Méditerranée),Rosé,Jean-Luc Colombo
75983,France,"While the alcohol is high and the wine powerful, it has managed to retain its linear, structured character. The result is a concentrated wine that also has acidity and a juicy blackberry fruit character. It does need to age, so don't drink before 2016.",,89,18.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Mirambeau Papin 2010  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Mirambeau Papin
23105,France,"This is a rich style of Sauvignon Blanc, the natural acidity rounded out by warmer fruits, currants, spice and a sense of structure. It is young, like many Pouilly Fumés at this stage, and will be best in 2015.",Loire Valley,88,16.0,Loire Valley,Pouilly-Fumé,,Roger Voss,@vossroger,Sauvion 2012 Loire Valley  (Pouilly-Fumé),Sauvignon Blanc,Sauvion
34349,France,"92-94. Barrel sample. This is a dark wine that's dominated by firm and dry tannins. It has weight and power, with juicy plum flavors showing slowly under the tannins. Shows long-aging potential.",Barrel Sample,93,,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château Belgrave 2011 Barrel Sample  (Haut-Médoc),Bordeaux-style Red Blend,Château Belgrave
126086,France,"This is a soft, rather unfocused wine that is pleasantly fruity with flavors of apples and currants. It's lightly perfumed and ready to drink now.",Cuvée Particulière,84,15.0,Alsace,Alsace,,Roger Voss,@vossroger,Klipfel 2011 Cuvée Particulière Riesling (Alsace),Riesling,Klipfel
33371,France,"For its youth, this is a rich, smooth wine. The tannins, even from the Malbec in the blend, are full, rounded and already integrated. Acidity and an attractive smokiness give this wine its already-drinkable character. Drink from the end of 2015.",Château la Bastide,87,15.0,Southwest France,Côtes du Marmandais,,Roger Voss,@vossroger,Cave du Marmandais 2014 Château la Bastide Red (Côtes du Marmandais),Bordeaux-style Red Blend,Cave du Marmandais
111770,France,"There is a heavy wood presence in this wine. For now, it dominates with burnt toast and dark chocolate flavors. Happily, the fruit is also developing well, bringing its fresh black-currant flavors into the balance. Drink this still-young wine from 2020.",,90,25.0,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château des Bardes 2014  Saint-Émilion,Bordeaux-style Red Blend,Château des Bardes
71925,France,"Packed with ripe Merlot fruit, this is a dense wine. It has impressive structure and great acidity to cut through the dark fruit. Rich and full in the mouth, this will be a solid fine wine from 2020.",,89,38.0,Bordeaux,Lalande de Pomerol,,Roger Voss,@vossroger,Domaine des Sabines 2014  Lalande de Pomerol,Bordeaux-style Red Blend,Domaine des Sabines
33142,France,"This Bordeaux-style wine is ripe and rich, balance between dusty tannins and stalky red fruits. Acidity and an attractive generous texture give it shape. It is ready to drink.",Domaine de Brazalem,85,14.0,Southwest France,Buzet,,Roger Voss,@vossroger,Vignerons de Buzet 2011 Domaine de Brazalem Red (Buzet),Bordeaux-style Red Blend,Vignerons de Buzet
25167,France,"Crisp, light, almost delicate, this is certainly sophisticated wine. With lively acidity, bright white fruits and a tangy minerality, it does everything this style of Champagne should do. Over the years, as the grapes in Champagne get riper, this cuvée has become drier, while remaining well balanced.",Brut Royal,88,45.0,Champagne,Champagne,,Roger Voss,@vossroger,Pommery NV Brut Royal  (Champagne),Champagne Blend,Pommery
42371,France,"The wine is ripe and soft with a body of tannin that sits uneasily within this jammy character. The blend (Merlot 75%, Cabernet Franc 25%, Malbec 5%) was aged 30% in barrel and 70% in stainless steel tanks. It is unbalanced and likely to remain so.",Grande Réserve,83,13.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Le Grand Moulin 2012 Grande Réserve  (Blaye Côtes de Bordeaux),Bordeaux-style Red Blend,Château Le Grand Moulin
81920,France,"This wine envelopes the senses and coats the mouth with its honey and ripe yellow fruit flavors. It's rich and unctuous yet has the acidity and poise typical of the vineyards in the foothills of the Pyrenees mountains. Young now, it will age. Drink from 2019.",Séduction,92,32.0,Southwest France,Jurançon,,Roger Voss,@vossroger,Château de Jurque 2015 Séduction  (Jurançon),Petit Manseng,Château de Jurque
81704,France,"Almost too rich, this wine comes from obviously superripe grapes with dense tannins and acidity. It has structure and the potential to age. Drink from 2019.",Côte du Py,87,26.0,Beaujolais,Morgon,,Roger Voss,@vossroger,Trenel Fils 2015 Côte du Py  (Morgon),Gamay,Trenel Fils
90663,France,"Rather closed on the nose, this shows plump, sweet pear fruit countered by sprightly, spiky, lemony acidity. This is lively and fruity and easy to drink; enjoy while flavors are at their peak.",Collection,88,25.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Kuentz-Bas 2013 Collection Pinot Gris (Alsace),Pinot Gris,Kuentz-Bas
104311,France,"While there are plenty of firm tannins, there is also some fine red-berry fruit and layers of spice. The wine is structured as well, bringing the whole into balance. Drink this fine wine from 2018.",,89,20.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Lescalle 2014  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Lescalle
83539,France,"Soft and juicy, this is a bright cherry-flavored wine. It has a fine line of acidity to bring out the refreshing fruitiness and crisp aftertaste.",Beaujo Chéri,85,11.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Collin-Bourisset 2015 Beaujo Chéri  (Beaujolais),Gamay,Collin-Bourisset
56958,France,"This is such a perfumed wine with deceptively soft tannins and great fruit. The acidity is classic for the vintage, with raspberries and intense freshness at the end. It has a fine line of tannins and a life that will go far. Drink from 2022.",,96,215.0,Burgundy,Clos de Lambrays,,Roger Voss,@vossroger,Domaine des Lambrays 2014  Clos de Lambrays,Pinot Noir,Domaine des Lambrays
116638,France,"The traditional skittle bottle shape always looks attractive on a summer table. This soft wine with its red currant and strawberry flavors is just right as an apéritif, lively and bright with acidity to cut through the fruitiness. It is ready to drink.",Pierre et Paul,87,13.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Domaines Pierre Chavin 2015 Pierre et Paul Rosé (Côtes de Provence),Rosé,Domaines Pierre Chavin
38206,France,"Veuve Clicquot's prestige cuvée is named after the widow Clicquot, the great lady who built up the house in the early 19th century. This latest incarnation is just showing signs of ripe toasty maturity. It is rich and soft with a high dosage, in the house style, with a full panoply of lime, red apple and apricot. Drink now and until 2022.",La Grande Dame Brut,94,145.0,Champagne,Champagne,,Roger Voss,@vossroger,Veuve Clicquot Ponsardin 2006 La Grande Dame Brut  (Champagne),Champagne Blend,Veuve Clicquot Ponsardin
105789,France,"More fragrant than herbaceous, this is a rounded, creamy wine. It has creamed pear, apricot and ripe lime flavors to go with the smooth texture and finish.",Attitude,87,,Loire Valley,Val de Loire,,Roger Voss,@vossroger,Pascal Jolivet 2010 Attitude Sauvignon Blanc (Val de Loire),Sauvignon Blanc,Pascal Jolivet
126380,France,"A smooth wine, the tannins suspended within a velvet texture, resulting in an opulent, rich feel. This is very intense, with medicinal and dark plum skin flavors. Powerful, solid, for aging.",Cuvée Ambroise de l'Her,91,18.0,Southwest France,Cahors,,Roger Voss,@vossroger,Château Nozières 2008 Cuvée Ambroise de l'Her Malbec-Merlot (Cahors),Malbec-Merlot,Château Nozières
67092,France,"There is a great link here between the tannins, delicious red berry fruits and blackcurrants and the almost architectural structure. The wine certainly has fine fruit, a great balance, very complete, finishing gently, ripe and soft.",,94,54.0,Bordeaux,Saint-Julien,,Roger Voss,@vossroger,Château Talbot 2001  Saint-Julien,Bordeaux-style Red Blend,Château Talbot
71386,France,"Closed at this stage, this promises a huge, ripe future. Toast and spice notes are balanced around a black plum flavor. The dense, dark tannins create a brooding character, which is balanced by freshness on the finish. Give this wine at least 10 years.",,94,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Angélus 2009  Saint-Émilion,Bordeaux-style Red Blend,Château Angélus
